time,CTPCBC_制动_空压机组1运行,CTPCBC_制动_空压机组2运行,BC1CT_制动_A1车B1架制动施加
2020-07-16 21:03:14.402,0.0,0.0,1.0
2020-07-16 21:03:15.016,0.0,0.0,1.0
2020-07-16 21:03:15.168,0.0,0.0,1.0
2020-07-16 21:03:15.750,0.0,0.0,1.0
2020-07-16 21:03:15.925,0.0,0.0,1.0
2020-07-16 21:03:16.535,0.0,0.0,1.0
2020-07-16 21:03:16.631,0.0,0.0,1.0
2020-07-16 21:03:17.238,0.0,0.0,1.0
2020-07-16 21:03:17.409,0.0,0.0,1.0
2020-07-16 21:03:17.985,0.0,0.0,1.0
2020-07-16 21:03:18.161,0.0,0.0,1.0
2020-07-16 21:03:18.754,0.0,0.0,1.0
2020-07-16 21:03:18.895,0.0,0.0,1.0
2020-07-16 21:03:19.506,0.0,0.0,1.0
2020-07-16 21:03:19.649,0.0,0.0,1.0
2020-07-16 21:03:20.243,0.0,0.0,1.0
2020-07-16 21:03:20.408,0.0,0.0,1.0
2020-07-16 21:03:20.991,0.0,0.0,1.0
2020-07-16 21:03:21.132,0.0,0.0,1.0
2020-07-16 21:03:21.739,0.0,0.0,1.0
2020-07-16 21:03:21.896,0.0,0.0,1.0
2020-07-16 21:03:22.506,0.0,0.0,1.0
2020-07-16 21:03:22.643,0.0,0.0,1.0
2020-07-16 21:03:23.254,0.0,0.0,1.0
2020-07-16 21:03:23.399,0.0,0.0,1.0
2020-07-16 21:03:24.005,0.0,0.0,1.0
2020-07-16 21:03:24.154,0.0,0.0,1.0
2020-07-16 21:03:24.743,0.0,0.0,1.0
2020-07-16 21:03:24.889,0.0,0.0,1.0
2020-07-16 21:03:25.510,0.0,0.0,1.0
2020-07-16 21:03:25.660,0.0,0.0,1.0
2020-07-16 21:03:26.253,0.0,0.0,1.0
2020-07-16 21:03:26.417,0.0,0.0,1.0
2020-07-16 21:03:26.998,0.0,0.0,1.0
2020-07-16 21:03:27.157,0.0,0.0,1.0
2020-07-16 21:03:27.758,0.0,0.0,1.0
2020-07-16 21:03:27.912,0.0,0.0,1.0
